timestamp,team,ltp,delta,rolling_avg,volatility,signal,prediction
1735487565508,Wellington Firebirds,1.75,0.0,1.75,0.0,,DOWN
1735487588633,Northern Brave,1.7,0.0,1.7,0.0,,DOWN
1735507033366,Wellington Firebirds,1.74,-0.01,1.745,0.007,,UP
1735554645025,Northern Brave,1.87,0.17,1.785,0.12,SPIKE,DOWN
1735554645025,Wellington Firebirds,1.8,0.06,1.763,0.032,,DOWN
1735554698567,Northern Brave,1.9,0.03,1.823,0.108,SPIKE,DOWN
1735554698567,Wellington Firebirds,1.78,-0.02,1.768,0.028,,DOWN
1735554764233,Wellington Firebirds,1.82,0.04,1.778,0.033,,DOWN
1735558108781,Northern Brave,2.32,0.42,1.948,0.263,SPIKE,DOWN
1735558108781,Wellington Firebirds,1.76,-0.06,1.78,0.032,,UP
1735648224305,Wellington Firebirds,1.94,0.18,1.82,0.071,,DOWN
1735652071222,Northern Brave,2.3,-0.02,2.018,0.277,SPIKE,DOWN
1735652071222,Wellington Firebirds,1.77,-0.17,1.814,0.074,,UP
1735652185439,Wellington Firebirds,1.85,0.08,1.828,0.073,,DOWN
1735655618330,Wellington Firebirds,1.76,-0.09,1.816,0.079,,UP
1735655807017,Wellington Firebirds,1.75,-0.01,1.814,0.081,,UP
1735658007314,Wellington Firebirds,1.85,0.1,1.796,0.05,,DOWN
1735658151436,Wellington Firebirds,1.75,-0.1,1.792,0.053,,UP
1735658734034,Northern Brave,2.16,-0.14,2.11,0.215,SPIKE,DOWN
1735658734034,Wellington Firebirds,1.85,0.1,1.792,0.053,,DOWN
1735660264364,Northern Brave,2.22,0.06,2.18,0.169,SPIKE,DOWN
1735660264364,Wellington Firebirds,1.81,-0.04,1.802,0.05,,DOWN
1735660663093,Northern Brave,2.26,0.04,2.252,0.064,,DOWN
1735660840041,Wellington Firebirds,1.84,0.03,1.82,0.042,,DOWN
1735661321442,Northern Brave,2.3,0.04,2.248,0.059,,DOWN
1735661321442,Wellington Firebirds,1.77,-0.07,1.804,0.043,,UP
1735661361804,Wellington Firebirds,1.83,0.06,1.82,0.032,,DOWN
1735662833122,Northern Brave,2.18,-0.12,2.224,0.057,,UP
1735662833122,Wellington Firebirds,1.84,0.01,1.818,0.029,,DOWN
1735664356654,Wellington Firebirds,1.77,-0.07,1.81,0.037,,UP
1735664858226,Northern Brave,2.2,0.02,2.232,0.048,,UP
1735664858226,Wellington Firebirds,1.84,0.07,1.81,0.037,,DOWN
1735665898268,Wellington Firebirds,1.78,-0.06,1.812,0.034,,UP
1735667468090,Northern Brave,2.16,-0.04,2.22,0.058,,UP
1735667468090,Wellington Firebirds,1.85,0.07,1.816,0.038,,DOWN
1735670499273,Wellington Firebirds,1.76,-0.09,1.8,0.042,,UP
1735672112847,Wellington Firebirds,1.85,0.09,1.816,0.043,,DOWN
1735675903213,Wellington Firebirds,1.76,-0.09,1.8,0.046,,UP
1735675917320,Wellington Firebirds,1.75,-0.01,1.794,0.051,,UP
1735677877550,Northern Brave,2.32,0.16,2.232,0.073,,DOWN
1735678523017,Northern Brave,2.22,-0.1,2.216,0.062,,DOWN
1735680104328,Northern Brave,2.2,-0.02,2.22,0.06,,UP
1735680133559,Wellington Firebirds,1.83,0.08,1.79,0.046,,DOWN
1735683044451,Wellington Firebirds,1.85,0.02,1.808,0.049,,DOWN
1735683810062,Wellington Firebirds,1.89,0.04,1.816,0.06,,DOWN
1735684233710,Northern Brave,2.12,-0.08,2.204,0.075,,UP
1735684233710,Wellington Firebirds,1.88,-0.01,1.84,0.056,,DOWN
1735684294587,Northern Brave,2.14,0.02,2.2,0.079,,UP
1735684573976,Northern Brave,2.04,-0.1,2.144,0.071,,UP
1735684573976,Wellington Firebirds,1.92,0.04,1.874,0.035,,DOWN
1735684846866,Northern Brave,2.06,0.02,2.112,0.064,,UP
1735684987772,Northern Brave,2.04,-0.02,2.08,0.047,,UP
1735684987772,Wellington Firebirds,1.97,0.05,1.902,0.045,,DOWN
1735685742976,Northern Brave,2.08,0.04,2.072,0.041,,DOWN
1735685926088,Northern Brave,2.1,0.02,2.064,0.026,,DOWN
1735685926088,Wellington Firebirds,1.91,-0.06,1.914,0.035,,UP
1735686461556,Northern Brave,2.12,0.02,2.08,0.032,,DOWN
1735686461556,Wellington Firebirds,1.89,-0.02,1.914,0.035,,UP
1735689913554,Northern Brave,2.14,0.02,2.096,0.038,,DOWN
1735691084885,Wellington Firebirds,1.9,0.01,1.918,0.031,,UP
1735691646819,Wellington Firebirds,1.87,-0.03,1.908,0.038,,UP
1735693542313,Northern Brave,2.12,-0.02,2.112,0.023,,DOWN
1735693784477,Wellington Firebirds,1.9,0.03,1.894,0.015,,DOWN
1735693899190,Northern Brave,2.14,0.02,2.124,0.017,,DOWN
1735693899190,Wellington Firebirds,1.87,-0.03,1.886,0.015,,UP
1735694351012,Northern Brave,2.08,-0.06,2.12,0.024,,UP
1735694648091,Northern Brave,2.14,0.06,2.124,0.026,,DOWN
1735694744709,Northern Brave,2.18,0.04,2.132,0.036,,DOWN
1735694744709,Wellington Firebirds,1.85,-0.02,1.878,0.022,,UP
1735694791342,Northern Brave,2.24,0.06,2.156,0.059,,DOWN
1735694791342,Wellington Firebirds,1.8,-0.05,1.858,0.037,,UP
1735695578259,Wellington Firebirds,1.81,0.01,1.846,0.042,,UP
1735695741950,Northern Brave,2.12,-0.12,2.152,0.061,,UP
1735695741950,Wellington Firebirds,1.9,0.09,1.846,0.042,,DOWN
1735696898340,Northern Brave,2.16,0.04,2.168,0.046,,UP
1735696963699,Wellington Firebirds,1.84,-0.06,1.84,0.039,,DOWN
1735697174424,Wellington Firebirds,1.81,-0.03,1.832,0.041,,UP
1735697295718,Wellington Firebirds,1.84,0.03,1.84,0.037,,DOWN
1735697563654,Northern Brave,2.18,0.02,2.176,0.043,,DOWN
1735697683161,Wellington Firebirds,1.86,0.02,1.85,0.033,,DOWN
1735697702183,Wellington Firebirds,1.85,-0.01,1.84,0.019,,DOWN
1735697853749,Northern Brave,2.16,-0.02,2.172,0.044,,UP
1735697853749,Wellington Firebirds,1.86,0.01,1.844,0.021,,DOWN
1735697914696,Northern Brave,2.18,0.02,2.16,0.024,,DOWN
1735697914696,Wellington Firebirds,1.81,-0.05,1.844,0.021,,UP
1735698508491,Northern Brave,2.2,0.02,2.176,0.017,,DOWN
1735698508491,Wellington Firebirds,1.83,0.02,1.842,0.022,,UP
1735699118387,Northern Brave,2.16,-0.04,2.176,0.017,,UP
1735699118387,Wellington Firebirds,1.86,0.03,1.842,0.022,,DOWN
1735699156808,Wellington Firebirds,1.85,-0.01,1.842,0.022,,DOWN
1735699300868,Wellington Firebirds,1.81,-0.04,1.832,0.023,,UP
1735699357186,Wellington Firebirds,1.85,0.04,1.84,0.02,,DOWN
1735699425895,Northern Brave,2.2,0.04,2.18,0.02,,DOWN
1735699425895,Wellington Firebirds,1.83,-0.02,1.84,0.02,,UP
1735699480837,Northern Brave,2.18,-0.02,2.184,0.017,,UP
1735699480837,Wellington Firebirds,1.85,0.02,1.838,0.018,,DOWN
1735699660087,Wellington Firebirds,1.82,-0.03,1.832,0.018,,UP
1735699783901,Northern Brave,2.2,0.02,2.188,0.018,,DOWN
1735699783901,Wellington Firebirds,1.85,0.03,1.84,0.014,,DOWN
1735699847156,Northern Brave,2.18,-0.02,2.184,0.017,,UP
1735700025618,Wellington Firebirds,1.84,-0.01,1.838,0.013,,DOWN
1735700146319,Wellington Firebirds,1.88,0.04,1.848,0.022,,DOWN
1735700206683,Wellington Firebirds,1.86,-0.02,1.85,0.022,,DOWN
1735700256126,Northern Brave,2.04,-0.14,2.16,0.068,,UP
1735700256126,Wellington Firebirds,1.89,0.03,1.864,0.021,,DOWN
1735700325462,Wellington Firebirds,1.96,0.07,1.886,0.046,,DOWN
1735700446920,Northern Brave,1.97,-0.07,2.114,0.103,,UP
1735700489552,Northern Brave,2.06,0.09,2.09,0.097,,UP
1735700489552,Wellington Firebirds,1.94,-0.02,1.906,0.042,,DOWN
1735700608246,Northern Brave,2.04,-0.02,2.058,0.076,,UP
1735700608246,Wellington Firebirds,1.96,0.02,1.922,0.045,,DOWN
1735700687020,Northern Brave,2.06,0.02,2.034,0.037,,DOWN
1735700744065,Wellington Firebirds,1.94,-0.02,1.938,0.029,,DOWN
1735700805441,Northern Brave,2.04,-0.02,2.034,0.037,,DOWN
1735700805441,Wellington Firebirds,1.96,0.02,1.952,0.011,,DOWN
1735700926116,Northern Brave,1.92,-0.12,2.024,0.059,,UP
1735700926116,Wellington Firebirds,2.08,0.12,1.976,0.059,,DOWN
1735700986967,Northern Brave,1.82,-0.1,1.976,0.103,SPIKE,UP
1735700986967,Wellington Firebirds,2.2,0.12,2.028,0.111,SPIKE,DOWN
1735701047050,Northern Brave,1.84,0.02,1.936,0.111,SPIKE,UP
1735701106756,Wellington Firebirds,2.18,-0.02,2.072,0.12,SPIKE,DOWN
1735701167116,Northern Brave,1.88,0.04,1.9,0.087,,UP
1735701167116,Wellington Firebirds,2.16,-0.02,2.116,0.098,SPIKE,DOWN
1735701225259,Northern Brave,1.86,-0.02,1.864,0.038,,UP
1735701225259,Wellington Firebirds,2.12,-0.04,2.148,0.048,,UP
1735701285044,Northern Brave,1.87,0.01,1.854,0.024,,DOWN
1735701285044,Wellington Firebirds,2.16,0.04,2.164,0.03,,UP
1735701347027,Northern Brave,1.82,-0.05,1.854,0.024,,UP
1735701347027,Wellington Firebirds,2.2,0.04,2.164,0.03,,DOWN
1735701406282,Northern Brave,1.83,0.01,1.852,0.026,,UP
1735701467104,Northern Brave,1.8,-0.03,1.836,0.029,,UP
1735701526156,Northern Brave,1.82,0.02,1.828,0.026,,UP
